ID,Label
ID_cbef4007a_epidural,0.005245889
ID_cbef4007a_intraparenchymal,0.0039871507
ID_cbef4007a_intraventricular,0.008993815
ID_cbef4007a_subarachnoid,0.008482147
ID_cbef4007a_subdural,0.005502021
ID_cbef4007a_any,0.022016557
ID_0b6c78485_epidural,0.0038786654
ID_0b6c78485_intraparenchymal,0.00417518
ID_0b6c78485_intraventricular,0.0012248468
ID_0b6c78485_subarachnoid,0.004771243
ID_0b6c78485_subdural,0.017643256
ID_0b6c78485_any,0.019961197
ID_61cf8ee16_epidural,0.004061615
ID_61cf8ee16_intraparenchymal,0.0038361992
ID_61cf8ee16_intraventricular,0.00021692201
ID_61cf8ee16_subarachnoid,0.0021678808
ID_61cf8ee16_subdural,0.0022636522
ID_61cf8ee16_any,0.0032301748
ID_c082bf2d1_epidural,0.0004610937
ID_c082bf2d1_intraparenchymal,0.0004484793
ID_c082bf2d1_intraventricular,1.9647503e-05
ID_c082bf2d1_subarachnoid,0.0011426439
ID_c082bf2d1_subdural,0.0018393375
ID_c082bf2d1_any,0.0027411971
ID_062673861_epidural,0.0008434151
ID_062673861_intraparenchymal,0.001240484
ID_062673861_intraventricular,0.0005129561
ID_062673861_subarachnoid,0.0027768195
ID_062673861_subdural,0.0019239088
ID_062673861_any,0.005791089
ID_1ca2bc72f_epidural,0.0004108619
ID_1ca2bc72f_intraparenchymal,0.00048295883
ID_1ca2bc72f_intraventricular,3.5833134e-05
ID_1ca2bc72f_subarachnoid,0.002331769
ID_1ca2bc72f_subdural,0.0018548755
ID_1ca2bc72f_any,0.0029708615
ID_fe8b7c9ee_epidural,0.0031257086
ID_fe8b7c9ee_intraparenchymal,0.021728108
ID_fe8b7c9ee_intraventricular,0.00222515
ID_fe8b7c9ee_subarachnoid,0.008866325
ID_fe8b7c9ee_subdural,0.009871421
ID_fe8b7c9ee_any,0.014182882
ID_88cf53a7b_epidural,0.007284311
ID_88cf53a7b_intraparenchymal,0.016133629
ID_88cf53a7b_intraventricular,0.0011235308
ID_88cf53a7b_subarachnoid,0.01610103
ID_88cf53a7b_subdural,0.027546043
ID_88cf53a7b_any,0.09342677
ID_ab6705ed0_epidural,0.055146787
ID_ab6705ed0_intraparenchymal,0.09445335
ID_ab6705ed0_intraventricular,0.0054280525
ID_ab6705ed0_subarachnoid,0.13418478
ID_ab6705ed0_subdural,0.466525
ID_ab6705ed0_any,0.84074885
ID_5a1dc6a8f_epidural,0.000628796
ID_5a1dc6a8f_intraparenchymal,0.00017526028
ID_5a1dc6a8f_intraventricular,0.00012015206
ID_5a1dc6a8f_subarachnoid,0.0035705396
ID_5a1dc6a8f_subdural,0.0027673745
ID_5a1dc6a8f_any,0.003526455
ID_890f0d327_epidural,0.00064971374
ID_890f0d327_intraparenchymal,0.0018424428
ID_890f0d327_intraventricular,6.7917667e-06
ID_890f0d327_subarachnoid,0.005104015
ID_890f0d327_subdural,0.006194907
ID_890f0d327_any,0.010608402
ID_b98fc47d9_epidural,0.0002766333
ID_b98fc47d9_intraparenchymal,0.00015341179
ID_b98fc47d9_intraventricular,6.9823414e-05
ID_b98fc47d9_subarachnoid,0.0008587987
ID_b98fc47d9_subdural,0.0005418556
ID_b98fc47d9_any,0.0010209263
ID_18dda9570_epidural,0.0031912802
ID_18dda9570_intraparenchymal,0.019101633
ID_18dda9570_intraventricular,0.044502355
ID_18dda9570_subarachnoid,0.022837836
ID_18dda9570_subdural,0.027404595
ID_18dda9570_any,0.12033154
ID_d4a00c079_epidural,0.00011152752
ID_d4a00c079_intraparenchymal,0.000549972
ID_d4a00c079_intraventricular,7.873231e-06
ID_d4a00c079_subarachnoid,0.00034309892
ID_d4a00c079_subdural,0.0005658929
ID_d4a00c079_any,0.0012354361
ID_7befe0ec7_epidural,0.00032276066
ID_7befe0ec7_intraparenchymal,0.00021160874
ID_7befe0ec7_intraventricular,6.588265e-06
ID_7befe0ec7_subarachnoid,0.00021477508
ID_7befe0ec7_subdural,0.0031616106
ID_7befe0ec7_any,0.0008780683
ID_278b210a3_epidural,5.305504e-05
ID_278b210a3_intraparenchymal,1.0279323e-05
ID_278b210a3_intraventricular,9.142944e-07
ID_278b210a3_subarachnoid,2.7108748e-05
ID_278b210a3_subdural,0.0009223093
ID_278b210a3_any,0.00019835056
ID_75817839e_epidural,0.009913797
ID_75817839e_intraparenchymal,0.02515016
ID_75817839e_intraventricular,0.011245617
ID_75817839e_subarachnoid,0.6181283
ID_75817839e_subdural,0.5959713
ID_75817839e_any,0.9816191
ID_e147b66f4_epidural,0.0007046853
ID_e147b66f4_intraparenchymal,5.775874e-05
ID_e147b66f4_intraventricular,3.3721572e-06
ID_e147b66f4_subarachnoid,0.00016406449
ID_e147b66f4_subdural,0.0019201877
ID_e147b66f4_any,0.00088212837
ID_e243b5eb4_epidural,0.00053279934
ID_e243b5eb4_intraparenchymal,0.00076574425
ID_e243b5eb4_intraventricular,2.4462557e-05
ID_e243b5eb4_subarachnoid,0.0006904128
ID_e243b5eb4_subdural,0.0012061168
ID_e243b5eb4_any,0.0017098213
ID_e95268d67_epidural,0.0030332017
ID_e95268d67_intraparenchymal,0.0008122409
ID_e95268d67_intraventricular,1.5660176e-05
ID_e95268d67_subarachnoid,0.0044531613
ID_e95268d67_subdural,0.005372527
ID_e95268d67_any,0.008337461
ID_8df0912a3_epidural,0.0015708893
ID_8df0912a3_intraparenchymal,0.00059867307
ID_8df0912a3_intraventricular,1.2682688e-05
ID_8df0912a3_subarachnoid,0.0013562022
ID_8df0912a3_subdural,0.008022787
ID_8df0912a3_any,0.005928138
ID_66ef3abff_epidural,0.005041373
ID_66ef3abff_intraparenchymal,0.0017854975
ID_66ef3abff_intraventricular,0.00022344258
ID_66ef3abff_subarachnoid,0.0027650713
ID_66ef3abff_subdural,0.0048426604
ID_66ef3abff_any,0.006053269
ID_23634162c_epidural,0.0021209389
ID_23634162c_intraparenchymal,0.0033921716
ID_23634162c_intraventricular,0.0016954367
ID_23634162c_subarachnoid,0.0030457203
ID_23634162c_subdural,0.006652945
ID_23634162c_any,0.017615344
ID_dddb54c53_epidural,4.8480455e-05
ID_dddb54c53_intraparenchymal,2.2866061e-05
ID_dddb54c53_intraventricular,4.0919313e-06
ID_dddb54c53_subarachnoid,0.0001464028
ID_dddb54c53_subdural,0.0001194928
ID_dddb54c53_any,6.28573e-05
ID_afea1c113_epidural,0.0013337593
ID_afea1c113_intraparenchymal,0.0012431465
ID_afea1c113_intraventricular,0.0006539212
ID_afea1c113_subarachnoid,0.0014283843
ID_afea1c113_subdural,0.0037507603
ID_afea1c113_any,0.0043314653
ID_07c517a7b_epidural,2.8040342e-05
ID_07c517a7b_intraparenchymal,9.733374e-05
ID_07c517a7b_intraventricular,8.0782365e-06
ID_07c517a7b_subarachnoid,0.00013579775
